Day,Hour,Temp,Dir,Spd
174,10,0.470989761,110,0.284313725
174,11,0.511945392,110,0.411764706
174,12,0.627986348,120,0.274509804
174,13,0.641638225,120,0.352941176
174,14,0.604095563,120,0.401960784
174,15,0.604095563,120,0.37254902
174,16,0.57337884,,
174,17,0.546075085,120,0.284313725
174,18,0.498293515,120,0.264705882
174,19,0.484641638,120,0.235294118
174,20,0.4778157,120,0.284313725
174,21,0.4778157,120,0.284313725
174,22,0.470989761,120,0.235294118
174,23,0.460750853,120,0.274509804
174,24,0.450511945,120,0.18627451
175,1,0.433447099,120,0.039215686
175,2,0.436860068,110,0
175,3,0.460750853,140,0
175,4,0.467576792,270,0
175,5,0.464163823,250,0.009803922
175,6,0.488054608,270,0
175,7,0.494880546,70,0.078431373
175,8,0.481228669,60,0.176470588
175,9,0.440273038,40,0.333333333
175,10,0.416382253,20,0.333333333
175,11,0.402730375,10,0.31372549
175,12,0.399317406,10,0.421568627
175,13,0.361774744,10,0.343137255
175,14,0.344709898,20,0.225490196
175,15,0.341296928,10,0.323529412
175,16,0.344709898,360,0.323529412
175,17,0.33105802,10,0.264705882
175,18,0.320819113,10,0.245098039
175,19,0.320819113,10,0.303921569
175,20,0.324232082,10,0.137254902
175,21,0.307167235,10,0.225490196
175,22,0.293515358,10,0.235294118
175,23,0.279863481,20,0.215686275
175,24,0.269624573,20,0.245098039
176,1,0.259385666,10,0.18627451
176,2,0.252559727,10,0.225490196
176,3,0.249146758,10,0.235294118
176,4,0.249146758,10,0.235294118
176,5,0.245733788,10,0.137254902
176,6,0.23890785,40,0.166666667
176,7,0.235494881,40,0.235294118
176,8,0.273037543,60,0.147058824
176,9,0.273037543,40,0.176470588
176,10,0.293515358,30,0.12745098
176,11,0.313993174,40,0.196078431
176,12,0.351535836,30,0.156862745
176,13,0.368600683,120,0.196078431
176,14,0.358361775,70,0.235294118
176,15,0.351535836,120,0.166666667
176,16,0.348122867,20,0.088235294
176,17,0.33447099,30,0.147058824
176,18,0.327645051,40,0.137254902
